number,country,n,i,o,rgdpw60,rgdpw85,gdpgrowth,popgrowth,i_y,school,rgdpw23,gdpgrowth_23,popgrowth_23,i_y_23,school_23,ln_pl_i_23,alpha_23,g_meas_23,delta_23,lngd_meas_23
65,Syria,1,1,0,2382,6042,6.7,3,15.9,8.8,2300.599281408717,2.9843223507716843,3.0411769250447085,12.67883410910145,14.513763571954607,-0.19664029765741783,NaN,NA,0.04879354237345979,NA
66,Taiwan,0,0,0,NA,NA,8,NA,20.7,NA,NA,6.91068231623817,NA,25.886107026599355,NaN,-1.2369403853651897,0.27827788051217794,0.022455788476932526,0.04918763937894255,NA
67,Thailand,1,1,0,1308,3220,6.7,3.1,18,4.4,13572.043870983349,5.887626388845435,2.0275912487362824,23.753083311021324,9.36695155614111,-1.3636052838351889,0.5581968612968919,0.003953492333347297,0.059757118579000235,-2.477098928727744
68,U.A.E.,0,0,0,NA,18513,NA,NA,26.5,NA,92177.55573660624,5.276004845693261,7.735074634448136,35.4454618913156,9.581384175718798,-1.4959946205409385,NaN,NA,0.03225273138808983,NA
69,Yemen,0,0,0,NA,1918,NA,2.5,17.2,0.6,1584.3370543424746,0.9292495936508383,3.172320243379878,15.427938603929118,11.658168353039782,-0.34544196705943064,NaN,NA,0.0337940168700048,NA
70,Austria,1,1,1,5939,13327,3.6,0.4,23.4,8,22884.065799527576,2.580166166829767,0.407156983298651,27.207191032357514,12.702543437230206,-0.6626282121156373,0.3819024683907628,0.007513806330294193,0.03808859363198281,-3.0022742296568743
71,Belgium,1,1,1,6789,14290,3.5,0.5,23.4,9.3,26250.70749575176,2.561393159823644,0.38322185907893047,29.26894142292441,10.587830463887471,-0.7577021016690461,0.35943873692303896,0.00866962349732514,0.04111420316621662,-2.925906903942271
72,Cyprus,0,0,0,2948,NA,5.2,NA,31.2,8.2,16973.854196217453,4.49306110953227,1.6295363380441463,39.806902757845826,7.61219222407428,-1.058862211101015,0.46767658228054665,0.016183347435373197,0.036110687535256154,-2.6796172991806015
73,Denmark,1,1,1,8551,16491,3.2,0.6,26.6,10.7,30138.92342933968,2.4266883383396554,0.3988717690672994,26.087255124002702,10.93821427910873,-0.5624572890455727,0.3605397343635558,0.006877805571288587,0.037212601338978864,-3.034907196056119
74,Finland,1,1,1,6527,13779,3.7,0.7,36.9,11.5,27064.319393536556,2.6387054002638077,0.3475250507555039,32.443516049534075,10.825150899264118,-0.6496703787012033,0.3822315465658903,0.009726861776850892,0.0362214035121724,-3.0073289397829575
